Open,High,Low,Close,Adj Close,Volume,Month
25.85,26.4,24.33,25.860001,25.860001,3550400,5
26.41,28.379999,25.799999,27.01,27.01,2495500,5
27.950001,29.85,27.5,28.540001,28.540001,2857100,6
29.200001,29.25,27.0,28.83,28.83,2402400,6
27.85,29.110001,27.07,27.219999,27.219999,1633700,6
27.77,36.799999,27.0,32.599998,32.599998,10281000,6
33.82,35.400002,32.360001,34.25,34.25,4023600,6
35.029999,40.5,34.720001,40.41,40.41,6295000,6
42.0,42.59,37.349998,38.639999,38.639999,4324500,6
38.894001,40.099998,35.66,36.66,36.66,2528300,6
36.970001,39.375999,36.75,37.849998,37.849998,1621300,6
38.73,41.48,37.895,40.380001,40.380001,2562900,6
44.0,47.377998,37.32,38.740002,38.740002,9425000,6
37.316002,39.970001,36.599998,37.860001,37.860001,2080300,6
37.860001,41.650002,37.860001,39.290001,39.290001,2130900,6
39.599998,40.59,36.799999,37.25,37.25,2247400,6
37.75,39.380001,36.715,38.849998,38.849998,1732500,6
37.799999,39.849998,37.5,39.48,39.48,1779200,6
40.099998,42.0,39.150002,40.389999,40.389999,2231600,6
40.849998,42.097,38.880001,39.139999,39.139999,2151900,6
40.040001,40.396999,38.5,39.790001,39.790001,1118800,6
39.790001,44.599998,39.650002,44.330002,44.330002,3512500,6
43.310001,43.75,40.75,42.290001,42.290001,1941500,6
42.354,44.380001,41.209999,43.0,43.0,1854700,6
43.549999,43.799999,40.07,40.849998,40.849998,1415100,7
41.25,42.200001,39.220001,40.470001,40.470001,1218800,7
39.150002,39.66,37.349998,38.279999,38.279999,1740100,7
38.27,39.029999,33.599998,34.0,34.0,2670500,7
31.49,34.273998,30.627001,32.93,32.93,1760700,7
34.400002,34.849998,32.68,33.369999,33.369999,1535000,7
33.650002,34.200001,31.9,33.09,33.09,913400,7
32.82,33.060001,31.5,32.139999,32.139999,1440000,7
32.330002,32.5,30.16,30.42,30.42,1001800,7
30.049999,32.299999,29.375,30.469999,30.469999,1028300,7
30.540001,30.900999,27.82,28.690001,28.690001,1569400,7
27.434999,29.200001,27.309999,28.440001,28.440001,1468200,7
29.0,29.9,27.49,29.68,29.68,1041700,7
29.959999,30.77,28.945,30.299999,30.299999,1354700,7
30.59,30.690001,27.870001,28.0,28.0,1067900,7
27.204,27.4,25.65,25.92,25.92,2279500,7
25.299999,28.190001,25.152,25.77,25.77,2389100,7
25.790001,25.889999,22.84,23.379999,23.379999,2961700,7
24.26,26.25,24.039,25.65,25.65,1642500,7
26.089001,26.391001,24.629999,25.41,25.41,1111600,7
24.889999,26.450001,24.629999,26.299999,26.299999,1296500,7
26.790001,28.6,26.040001,27.950001,27.950001,1504400,8
27.57,27.620001,25.379999,26.35,26.35,960800,8
26.309999,27.1,25.25,25.459999,25.459999,736900,8
25.799999,26.440001,25.200001,25.610001,25.610001,464900,8
25.780001,26.16,24.844999,25.33,25.33,475300,8
25.690001,27.219999,25.158001,26.33,26.33,626000,8
26.77,27.75,25.799999,26.360001,26.360001,582000,8
26.360001,26.49,24.440001,25.66,25.66,950600,8
25.43,25.48,24.35,25.139999,25.139999,684100,8
25.0,25.1,23.933001,24.18,24.18,701400,8
23.82,24.18,22.75,23.620001,23.620001,658400,8
23.049999,24.218,22.799999,23.92,23.92,485200,8
24.469999,24.950001,23.07,24.18,24.18,723900,8
23.09,23.82,21.0,21.26,21.26,1847300,8
21.51,23.200001,21.42,22.65,22.65,909700,8
23.0,24.15,22.9,23.889999,23.889999,761300,8
25.0,25.84,24.34,25.450001,25.450001,1490100,8
23.464001,25.9,22.711,25.459999,25.459999,1759200,8
25.01,27.65,25.0,26.059999,26.059999,1173200,8
27.134001,27.134001,25.26,25.84,25.84,648600,8
25.84,26.440001,25.1,25.790001,25.790001,410900,8
25.610001,27.639999,25.549999,27.200001,27.200001,814900,8
27.0,27.450001,26.450001,26.83,26.83,675300,9
26.83,28.879999,26.83,27.07,27.07,971000,9
27.700001,29.33,27.35,27.93,27.93,1054800,9
28.25,29.200001,27.790001,28.6,28.6,801600,9
28.65,28.799999,26.280001,26.74,26.74,1013600,9
26.4,27.74,25.85,27.17,27.17,583500,9
27.309999,27.440001,26.129999,26.42,26.42,422600,9
26.200001,26.67,25.299999,25.440001,25.440001,820900,9
25.6,26.360001,24.129999,24.5,24.5,847000,9
24.549999,25.27,23.9,24.91,24.91,669400,9
24.200001,25.43,24.17,25.280001,25.280001,403800,9
25.280001,26.620001,25.280001,26.530001,26.530001,1642100,9
24.809999,25.129999,24.049999,24.629999,24.629999,979700,9
25.1,25.549999,24.790001,25.34,25.34,575800,9
25.709999,26.98,25.48,26.709999,26.709999,760400,9
26.959999,27.33,26.125,27.110001,27.110001,562100,9
27.0,27.110001,25.85,25.940001,25.940001,538900,9
26.309999,26.92,25.219999,26.52,26.52,513500,9
26.323999,26.459999,24.879999,25.059999,25.059999,505400,9
25.33,25.4,23.700001,23.780001,23.780001,632700,9
24.4,24.780001,23.51,23.91,23.91,429800,9
23.91,24.200001,22.6,23.25,23.25,888700,10
23.24,23.24,21.559999,21.610001,21.610001,643800,10
21.780001,22.450001,21.51,21.93,21.93,730300,10
21.5,22.132999,21.01,21.309999,21.309999,898400,10
22.0,23.25,21.719999,22.08,22.08,1206900,10
22.34,22.5,21.67,21.700001,21.700001,398500,10
21.950001,22.459999,21.040001,21.129999,21.129999,816300,10
21.17,22.059999,21.049999,21.139999,21.139999,572300,10
21.200001,22.15,21.07,21.809999,21.809999,689600,10
22.184999,22.950001,21.469999,22.530001,22.530001,884100,10
22.68,23.290001,22.110001,22.280001,22.280001,695500,10
